web_scraper_order,web_scraper_start_url,data,data2,data3,image
"1786124408-82","https://sawa9ly.app/wishlist","Compresseur d’Air Double Cylindre SHREESAMP avec Kit de réparation 12V -150PSI – مضخة هواء مزدوجة الأسطوانة مع أدوات التصليح","6,600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/36371/CompressorAir-CNC.jpg"
"1786124408-83","https://sawa9ly.app/wishlist","Gril Électrique Antiadhésif d’Intérieur – شواية كهربائية مضادة للالتصاق للاستخدام الداخلي","2,900 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/36432/AXTMR-1-2.jpg"
"1786124408-84","https://sawa9ly.app/wishlist","Pompe à Huile Electrique DC12V 45L-50L – مضخة الزيت الكهربائية DC12V 45L-50L","1,700 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/36538/oilpump-CNC.jpg"
"1786124408-85","https://sawa9ly.app/wishlist","Adaptateur de Cloueur Automatique à Chaîne pour Visseuse – محول مسدس مسامير أوتوماتيكي بسلسلة لمفك البراغي","2,750 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/36545/Auto-Screw-CNC.jpg"
"1786124408-86","https://sawa9ly.app/wishlist","Gril Électrique Antiadhésif d’Intérieur 26cm – شواية كهربائية مضادة للالتصاق للاستخدام الداخلي","2,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/36567/AXTMR-cnc-1.jpg"
"1786124408-87","https://sawa9ly.app/wishlist","Cahier de Pratique (Ensemble de 4 Livres + 10 Recharges) – كراس التدريب مجموعة من 4 كتب + 10 عبوات حبر ANGLAIS","1,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/36850/4book-1.jpg"
"1786124408-88","https://sawa9ly.app/wishlist","Panier à Fruits en Métal à 2 Niveaux KG – سلة فواكه معدنية بطبقتين","3,150 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/36877/Kangda-3.jpg"
"1786124408-89","https://sawa9ly.app/wishlist","Boîte à Lunch Électrique Portable avec 2 Récipients Amovibles en Acier Inoxydable – علبة تسخين طعام","3,750 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/37184/Cooking-Box-CNC.jpg"
"1786124408-90","https://sawa9ly.app/wishlist","Lampe de Poche Téléscopique 50 LED – مصباح يدوي","1,950 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/37290/b09086f0-187d-4401-aae4-92dd6b7e1e46.jpeg"
"1786124408-91","https://sawa9ly.app/wishlist","Miroir de Pare-Soleil de Voiture à 3 Températures de Couleur – مرآة تجميل في السيارة","2,450 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/37523/LED-Mir-Voiture-cnc-1.jpg"
"1786124408-92","https://sawa9ly.app/wishlist","Panier à Fruits en Métal à 3 Niveaux – سلة فواكه معدنية بثلاث طبقات","3,900 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/38635/OASISWJ-CNC-(1).jpg"
"1786124408-93","https://sawa9ly.app/wishlist","Tournevis à Cliquet Multifonction Haute Résistance 41en1– مفك براغي متعدد الوظائف عالي القوة","2,600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/39050/JDF2023611-CNC.jpg"
"1786124408-94","https://sawa9ly.app/wishlist","Tournevis Avec Ensemble Professionnel de Magnétiques 41 Pièces –  مفك براغي احترافي مع 41 قطعة مغناطيسية","2,000 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/39056/JDF20236112-cnc.jpg"
"1786124408-95","https://sawa9ly.app/wishlist","Jouet Électrique de Simulation de Cage à Oiseaux avec Contrôle Sonore – لعبة قفص الطيور المكررة للكلام","1,600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/39188/JX2302454.jpg"
"1786124408-96","https://sawa9ly.app/wishlist","Joint d'étanchéité sous la porte 80cm  HIGH QUALITY– مانع تسرب أسفل الباب","600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/51498/joint.jpg"
"1786124408-97","https://sawa9ly.app/wishlist","Horloge Numérique 3D LED pour Mur et bureau GH8018 – ساعة رقمية ثلاثية الأبعاد حائط و مكتب","1,700 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/39749/GH8018-(3).jpg"
"1786124408-98","https://sawa9ly.app/wishlist","Scelleuse Sous Vide Automatique – آلة تفريغ الهواء وحفظ الطعام","1,400 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/39908/VaccumSeal-(9).jpg"
"1786124408-99","https://sawa9ly.app/wishlist","Aspirateur Robot Intelligent pour la Maison – مكنسة روبوت ذكية للمنزل","2,950 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/40488/80883CLEARNBOBOT-CNC.jpg"
"1786124408-100","https://sawa9ly.app/wishlist","Boîte à Lunch Isotherme Micro-ondable – حافظة طعام حرارية قابلة للاستخدام في الميكروويف","3,450 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/40701/LunchBox3t.jpg"
"1786124408-101","https://sawa9ly.app/wishlist","Moulin à Herbes Microplane en Acier Inoxydable 3en1 – مطحنة أعشاب","1,100 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/41010/StainlessSteel-(9).jpg"
"1786124408-102","https://sawa9ly.app/wishlist","Accessoire Pédale Antidérapante – دواسات قدم السيارات مانع للانزلاق","1,500 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/41018/pedalblue.jpg"
"1786124408-103","https://sawa9ly.app/wishlist","Étagère de Rangement à 3 Niveaux 59x19x35cm – وحدة رفوف تخزين بثلاث طبقات","3,050 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/41330/3tierstoragerack-(7).jpg"
"1786124408-104","https://sawa9ly.app/wishlist","Étagère Murale Porte-Épices – رف توابل جداري","4,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/41789/spicestorage-CNC.jpg"
